category_2,category_3,number_of_listings,avg_listing_price_eur,revenue_from_push_ups,push_ups_quantity,percent_push_ups
ACCESSORIES_JEWELLERY,ACCESS_MOBILE,14228,28.08185128,492,246,1.7289851
ACCESSORIES_JEWELLERY,BELTS,29838,21.2731614,1382,691,2.315838863
ACCESSORIES_JEWELLERY,GLOVES,6350,17.04385984,304,152,2.393700787
ACCESSORIES_JEWELLERY,JEWELRY,343493,17.93588,20554,10277,2.991909588
ACCESSORIES_JEWELLERY,KEY_RINGS,5,15.9,NULL,NULL,NULL
ACCESSORIES_JEWELLERY,OTHER_ACCESSORIES_AND_JEWELLERY,52245,33.02354752,2782,1391,2.662455737
ACCESSORIES_JEWELLERY,SOCKS_TIGHTS_STOCKINGS,8741,6.55535179,270,135,1.544445716
ACCESSORIES_JEWELLERY,SUNGLASSES,34020,47.93094327,3902,1951,5.734861846
ACCESSORIES_JEWELLERY,TRADITIONA_ACCESSORIES_WOMEN,271,16.50738007,6,3,1.10701107
ACCESSORIES_JEWELLERY,WATCHES,66595,67.92293445,9238,4619,6.935956153
ACCESSORIES_JEWELLERY,WOM_ACC_HATS_CAPS,53325,13.61605813,2448,1224,2.29535865
ACCESSORIES_JEWELLERY,WOM_ACC_SCARVES_SHAWLS,144286,12.81199035,5284,2642,1.831085483
ACCESSORIES_JEWELLERY,W_ACC_UMBRELLAS,1,5,NULL,NULL,NULL
ACCESSORIES_JEWELLERY,W_HAIR_ACCESSORIES,3417,10.0788089,100,50,1.463271876
ACCESSORIES_JEWELLERY,W_OTHER_ACCESSORIES,20205,17.18272952,1116,558,2.76169265
ALL_OTHERS,NULL,70215,18.26906744,3274,1637,2.331410667
BABY_CARE,BABY_CARRIERS_AND_BABY_CARRYING_BELTS,23534,52.92112731,3042,1521,6.462989717
BABY_CARE,BABY_FEEDING_ACCESSORIES,35882,10.55939803,1534,767,2.137562009
BABY_CARE,BAB_BIBS,4836,4.791346154,42,21,0.4342431762
BABY_CARE,BATHING_GEAR,10482,9.729632704,378,189,1.803091013
BABY_CARE,BOUNCERS_AND_SWINGS,9472,46.14404139,1122,561,5.922719595
BABY_CARE,CHILD_SAFETY,4960,17.82525806,230,115,2.318548387
BABY_CARE,DIAPERING_AND_CARING,22210,22.18133543,1598,799,3.597478613
BABY_CARE,POTTIES,1438,9.014986092,48,24,1.668984701
BABY_CARE,SLEEPING_ACCESSORIES,92987,12.79581888,5206,2603,2.799316033
BABY_CARE,TECHNICAL_ITEMS_FOR_BABIES_AND_KIDS,11227,27.7145827,1044,522,4.649505656
BABY_CARE,UMBRELLAS,322,9.166180124,4,2,0.6211180124
BABY_FURNITURE,BABY_BEDS,6101,91.76107523,886,443,7.261104737
BABY_FURNITURE,BEDDING_FOR_DIAPERS_CHANGING,1329,32.74691497,108,54,4.063205418
BABY_FURNITURE,BEDS_FOR_KIDS,3083,101.0257314,396,198,6.422315926
BABY_FURNITURE,EDUCATIONAL_BLANKETS,3069,21.30329097,336,168,5.474095797
BABY_FURNITURE,KIDS_ROOM_FURNITURE,4479,77.66778075,398,199,4.442956017
BABY_FURNITURE,MATTRESSES,1126,27.1142984,126,63,5.595026643
BABY_FURNITURE,NIGHTLIGHTS,1847,15.3640065,144,72,3.898213319
BABY_FURNITURE,NURSERIES,4118,75.34567509,726,363,8.814958718
BABY_FURNITURE,PLAYPENS,4307,54.22876248,514,257,5.967030416
BABY_FURNITURE,ROOM_DECORATION,8461,15.53660915,506,253,2.990190285
BAGS_BACKPACKS,BACKPACKS,24933,38.78657642,2824,1412,5.663177315
BAGS_BACKPACKS,CLUTCHES,26274,32.579066,2122,1061,4.038212682
BAGS_BACKPACKS,HANDBAGS,184771,69.99430674,23136,11568,6.260722732
BAGS_BACKPACKS,MAKE_UP_BAGS,6307,18.96329158,438,219,3.472332329
BAGS_BACKPACKS,PURSES,29923,38.59278515,3156,1578,5.273535408
BAGS_BACKPACKS,SATCHELS_NEW,13,14.30769231,2,1,7.692307692
BAGS_BACKPACKS,SHOULDER_BAGS,98807,43.71629571,10992,5496,5.562358942
BAGS_BACKPACKS,TOTE_BAGS,8233,12.31952994,440,220,2.672172962
BAGS_BACKPACKS,TRADITIONAL_BAGS_DE,219,16.93465753,4,2,0.9132420091
BAGS_BACKPACKS,WOM_ACC_BAG_OTHER,15462,36.60854159,1266,633,4.093907645
BAGS_BACKPACKS,W_BUM_BAGS,1,7.9,NULL,NULL,NULL
BAGS_BACKPACKS,W_HOLDALLS,7,26.42857143,NULL,NULL,NULL
BAGS_BACKPACKS,W_LUGGAGE,1,300,NULL,NULL,NULL
BOOKS_AND_SCHOOL,BOOKS_FOR_KIDS,48261,5.066480802,466,233,0.482791488
BOOKS_AND_SCHOOL,LITERATURE_FOR_PARENTS,10813,7.260281143,228,114,1.054286507
BOOKS_AND_SCHOOL,SCHOOLBOOKS,1682,6.02626635,20,10,0.594530321
BOOKS_AND_SCHOOL,SCHOOL_BAGS,2825,21.80997876,222,111,3.92920354
BOOKS_AND_SCHOOL,SCHOOL_PACKAGES,4326,10.77299353,126,63,1.45631068
BOOKS_AND_SCHOOL,SUPPLIES_FOR_SCHOOL,1933,6.945576824,32,16,0.8277289188
CHAIRS,BABY_CAR_CHAIRS,16579,77.38225225,2362,1181,7.123469449
CHAIRS,FEEDING_CHAIRS,8069,44.8820932,520,260,3.222208452
CHILD_SAFETY,BAB_CHI_OTHER,48,18.92604167,NULL,NULL,NULL
CLOTHING_FOR_BOYS,BABY_CLOTHING,201877,5.895854505,5900,2950,1.461285832
CLOTHING_FOR_BOYS,BOYS_UNDERW,26908,3.700221867,150,75,0.278727516
CLOTHING_FOR_BOYS,CLOTH_PACKAGES,240540,10.71542392,10888,5444,2.263241041
CLOTHING_FOR_BOYS,CLO_ACCESSORIES,76305,5.028772164,1350,675,0.8846078239
CLOTHING_FOR_BOYS,CLO_CARDIGANS_AND_JUMPERS,213368,6.491316692,6344,3172,1.486633422
CLOTHING_FOR_BOYS,CLO_FOOTWEAR,164689,12.55731615,9688,4844,2.941301483
CLOTHING_FOR_BOYS,CLO_OTH_SWIMWEAR,12303,6.354205478,154,77,0.6258636105
CLOTHING_FOR_BOYS,CLO_OTH_THEMED_COSTUMES,6499,16.90977073,528,264,4.06216341
CLOTHING_FOR_BOYS,CLO_PANTS,262873,6.582380503,5690,2845,1.082271667
CLOTHING_FOR_BOYS,COSTUMS_BOYS,3653,9.827569121,104,52,1.423487544
CLOTHING_FOR_BOYS,FOR_SLEEP,46647,5.095602075,662,331,0.7095847536
CLOTHING_FOR_BOYS,KIDS_HANDBAGS,551,9.964319419,14,7,1.270417423
CLOTHING_FOR_BOYS,OUTDOOR_CLOTHING,174736,13.66717168,12898,6449,3.690710558
CLOTHING_FOR_BOYS,SHIRTS_T_SHIRTS_AND_TOPS,263248,4.936977793,3616,1808,0.686804838
CLOTHING_FOR_BOYS,SPORTS_CLOTHING,22674,8.032237364,626,313,1.380435741
CLOTHING_FOR_BOYS,TWINS_BOYS,3816,9.121208071,138,69,1.808176101
CLO_SETS,NULL,1786,10.96353863,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,BODY_CARE,145,11.51613793,6,3,2.068965517
COSMETICS_AND_BEAUTY_ITEMS,FACE_CARE,211,17.15327014,8,4,1.895734597
COSMETICS_AND_BEAUTY_ITEMS,HAIR_CARE,30,10.98966667,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,HAND_NAIL_CARE,4,6.625,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,MAKE_UP,7,12.85714286,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,MEN_BEAUTY_TOOLS,80,29.766125,10,5,6.25
COSMETICS_AND_BEAUTY_ITEMS,MEN_COS_OTH_COSMETICS,11,13.04454545,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,PERFUME,1727,33.39866821,164,82,4.748118124
COSMETICS_AND_BEAUTY_PRODUCTS,BEAUTY_HAND_ONLY,2,3.5,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_PRODUCTS,COSMETICS,33976,16.96528667,2624,1312,3.861549329
COSMETICS_AND_BEAUTY_PRODUCTS,OTHER_COSMETICS_AND_TOOLS,13660,23.27071083,936,468,3.426061493
COSMETICS_AND_BEAUTY_PRODUCTS,WOM_COS_BOD_COSMETICS,19031,10.38082234,906,453,2.380326835
COSMETICS_AND_BEAUTY_PRODUCTS,WOM_COS_HAN_COSMETICS,34751,8.059490662,966,483,1.389888061
COSMETICS_AND_BEAUTY_PRODUCTS,WOM_COS_MAK_COSMETICS,185426,14.74180972,16184,8092,4.364005048
COSMETICS_AND_BEAUTY_PRODUCTS,WOM_COS_PERFUME,65275,27.6624265,5610,2805,4.297204136
COSMETICS_AND_BEAUTY_PRODUCTS,W_BEAUTY_TOOLS,33411,17.46075963,1974,987,2.954116908
COSMETICS_AND_BEAUTY_PRODUCTS,W_HAIR_COSMETICS,13,13.27307692,NULL,NULL,#VALUE!
FOOTWEAR,ANKLE_BOOTS,131523,35.3842109,17594,8797,6.688563977
FOOTWEAR,FLIP_FLOPS,11787,15.0976508,544,272,2.307627047
FOOTWEAR,HIGH_HEELS,240912,25.68880695,23110,11555,4.796357176
FOOTWEAR,SANDALS,64920,21.74960937,5144,2572,3.961799137
FOOTWEAR,SLIPPERS,2526,17.33463579,136,68,2.692003167
FOOTWEAR,SLIP_ONS,5098,26.30743429,422,211,4.138877991
FOOTWEAR,TRADITIONAL_WOMEN_SHOES,72,24.55555556,2,1,1.388888889
FOOTWEAR,WOM_FOO_OTHER,72368,44.60375249,6982,3491,4.823955339
FOOTWEAR,WOM_FOO_SHOES,58252,35.35905033,7832,3916,6.722515965
FOOTWEAR,W_BOOTS,117998,48.15325887,16502,8251,6.992491398
FOOTWEAR,W_FLATS_MAIN,59699,21.6210166,4666,2333,3.907938156
FOOTWEAR,W_OXFORS_LOAFTERS,1861,20.69289092,128,64,3.439011284
FOOTWEAR,W_TRAINERS,289412,50.49045952,43358,21679,7.490705292
GIRLS_CLOTHING,CARDIGANS_AND_JUMPERS,229627,6.278939889,6186,3093,1.346967038
GIRLS_CLOTHING,CLOTHING_PACKAGES,268449,10.69425068,11472,5736,2.136718706
GIRLS_CLOTHING,COSTUMS,5293,9.126514264,156,78,1.473644436
GIRLS_CLOTHING,GIRLS_UNDERWEAR,198281,5.831111806,5546,2773,1.398520282
GIRLS_CLOTHING,FOR_SLEEPING,50068,5.142535751,818,409,0.8168890309
GIRLS_CLOTHING,FOR_BABIES,38647,3.728234792,274,137,0.3544906461
GIRLS_CLOTHING,GIR_ACCESSORIES,88589,5.011583154,1758,879,0.9922225107
GIRLS_CLOTHING,GIR_DRESSES,191493,8.765627516,6328,3164,1.652279718
GIRLS_CLOTHING,GIR_OTH_SWIMWEAR,19752,6.333435601,312,156,0.7897934386
GIRLS_CLOTHING,GIR_SHOES,200824,12.51048445,11244,5622,2.799466199
GIRLS_CLOTHING,GIR_SKIRTS,32593,6.799660663,728,364,1.116804222
GIRLS_CLOTHING,HANDBAGS_GIRLS,2480,8.62241129,70,35,1.411290323
GIRLS_CLOTHING,OUTDOOR_CLOTHES,200732,13.81962208,15822,7911,3.941075663
GIRLS_CLOTHING,PANTS,321053,5.881480472,6090,3045,0.9484415346
GIRLS_CLOTHING,SHIRTS_AND_T_SHIRTS,309425,4.918589804,3720,1860,0.6011149713
GIRLS_CLOTHING,SPORTS_CLOTHES,17053,7.725528646,498,249,1.460153639
GIRLS_CLOTHING,THEMED_COSTUMES,7995,18.65381989,766,383,4.790494059
GIRLS_CLOTHING,TWINS_GIRLS,4663,8.680345271,152,76,1.629852027
GIR_OTHER_CLOTHES,NULL,769,7.70136541,36,18,2.340702211
GIR_SETS,NULL,2594,9.851823439,NULL,NULL,NULL
MEN_ACCESSORIES,APPAREL,1943,42.28699949,168,84,4.323211529
MEN_ACCESSORIES,BAGS,4400,74.57392045,562,281,6.386363636
MEN_ACCESSORIES,HATS_CAPS,9865,25.00805068,548,274,2.777496199
MEN_ACCESSORIES,MEN_ACC_BELTS,2124,42.16270245,134,67,3.154425612
MEN_ACCESSORIES,MEN_ACC_GLOVES,282,22.73858156,24,12,4.255319149
MEN_ACCESSORIES,MEN_ACC_OTHER,1332,52.62551802,110,55,4.129129129
MEN_ACCESSORIES,MEN_ACC_SUNGLASSES,1185,69.85291139,98,49,4.135021097
MEN_ACCESSORIES,MEN_ACC_WATCHES,4139,103.9058202,634,317,7.658854796
MEN_ACCESSORIES,SCARVES_SHAWLS,1380,23.00361594,52,26,1.884057971
MEN_ACCESSORIES,TIES,2363,16.20014388,50,25,1.057977148
MEN_CLOTHING,MEN_OTHER,5900,50.64185932,282,141,2.389830508
MEN_CLOTHING,MEN_OUTERWEAR_NEW,8533,64.02400328,834,417,4.886909645
MEN_CLOTHING,MEN_PULLOVERS_SWEATERS,85537,31.10408993,5640,2820,3.29681892
MEN_CLOTHING,MEN_SWIMWEAR,3379,16.06052086,124,62,1.834862385
MEN_CLOTHING,MEN_TOPS_T_SHIRTS,149971,18.86952064,6146,3073,2.049062819
MEN_CLOTHING,MEN_TROUSERS,37116,28.79305879,1860,930,2.505657937
MEN_CLOTHING,MEN_TRO_JEANS,25211,33.85741779,1724,862,3.419142438
MEN_CLOTHING,SHORTS_CAPRI_PANTS,2432,16.83212171,106,53,2.179276316
MEN_CLOTHING,SPECIALISED_CLOTHING_COSTUMES,2206,61.83574343,214,107,4.850407978
MEN_CLOTHING,SPORTSWEAR,21204,28.34742973,1228,614,2.89568006
MEN_CLOTHING,SUITS_BLAZERS,33074,67.34827085,3422,1711,5.173247868
MEN_CLOTHING,UNDERWEAR,2989,14.65972232,102,51,1.706256273
MEN_FOOTWEAR,MEN_FOO_ANKLE_BOOTS,1636,63.3819621,230,115,7.029339853
MEN_FOOTWEAR,MEN_FOO_COMBAT_BOOTS,171,64.38573099,12,6,3.50877193
MEN_FOOTWEAR,MEN_FOO_TRAINERS,73941,149.248275,9700,4850,6.559283753
MEN_FOOTWEAR,MEN_FOO_KNEE_LENGHT_BOOTS,3011,91.53778479,370,185,6.14413816
MEN_FOOTWEAR,MEN_FOO_SANDALS,491,25.90431772,12,6,1.221995927
MEN_FOOTWEAR,MEN_FOO_SHOES,4807,61.7526087,498,249,5.179945912
MEN_FOOTWEAR,MEN_FOO_SLIPPERS,172,48.42372093,6,3,1.744186047
MEN_FOOTWEAR,MEN_FOO_TRAINERS,73941,149.248275,9700,4850,6.559283753
MEN_FOOTWEAR,MEN_FOO_WELLINGTON_BOOTS,63,68.41333333,6,3,4.761904762
MEN_FOOTWEAR,OTHER_SHOES,4602,119.1664276,354,177,3.846153846
MEN_FOOTWEAR,SLIP_ONS_LOAFERS,1084,52.60085793,124,62,5.719557196
MEN_OUTERWEAR,MEN_OUT_BLAZERS,37661,85.41069515,4896,2448,6.500092934
MEN_OUTERWEAR,MEN_OUT_CAPES,65,45.79153846,2,1,1.538461538
MEN_OUTERWEAR,MEN_OUT_COATS,3441,107.8545161,452,226,6.567858181
MEN_OUTERWEAR,MEN_OUT_HALF_LENGTH_COATS,2305,96.89326247,398,199,8.63340564
MEN_OUTERWEAR,MEN_OUT_JACKETS,2387,61.64627566,234,117,4.901550063
MEN_OUTERWEAR,MEN_OUT_OTHER,2590,63.22771815,260,130,5.019305019
MEN_OUTERWEAR,TRENCH_COATSRAINCOATS,1795,52.67342618,192,96,5.348189415
MEN_PULLOVERS_SWEATERS,MEN_PUL_BRANDHOODIES,899,32.84451613,94,47,5.228031146
MEN_SHOES_NEW,MEN_BOOTS,2105,74.95272684,232,116,5.510688836
MEN_SHOES_NEW,MEN_FORMAL,33,82.54545455,12,6,18.18181818
MEN_SHOES_NEW,MEN_OXFORDS_LOAFERS,856,45.53008178,88,44,5.140186916
MEN_SHOES_NEW,MEN_SANDALS,187,31.80262032,4,2,1.069518717
MEN_SHOES_NEW,MEN_SHOES_OTH,5417,67.26119623,440,220,4.061288536
MEN_SHOES_NEW,MEN_SLIPPERS_FLIPFLOPS,61,23.1557377,NULL,NULL,NULL
MEN_SHOES_NEW,MEN_SNEAKERS,24383,97.02161834,2694,1347,5.524340729
MEN_SHOES_NEW,SPORT_SHOES_MEN,2506,66.82270152,160,80,3.192338388
MEN_TOPS_T_SHIRTS,BRANDSHIRTS,2498,21.5891193,132,66,2.642113691
MEN_TROUSERS,MEN_TRO_LEATHER_TROUSERS,246,60.35626016,14,7,2.845528455
MEN_TROUSERS,MEN_TRO_TRACK_SUIT_BOTTOMS,922,28.16813449,32,16,1.735357918
MEN_VESTS,NULL,2719,39.6437808,214,107,3.93527032
MOTHERHOOD_ACCESSORIES,FOR_BREASTFEEDING_MOMS,7823,17.08731689,638,319,4.077719545
MOTHERHOOD_ACCESSORIES,FOR_PREGNANT_WOMEN,5695,16.99683407,294,147,2.581211589
MOVING_GEAR,BABY_BOUNCY_SEATS,248,23.59604839,36,18,7.258064516
MOVING_GEAR,BABY_PUSH_WALKERS,1486,26.29543069,136,68,4.576043069
MOVING_GEAR,BABY_WALKING_CHAIRS,1130,24.10899115,88,44,3.89380531
MOVING_GEAR,BICYCLES,4716,47.40439355,334,167,3.541136556
MOVING_GEAR,BICYCLE_SEATS_AND_TRAILERS,1665,106.0232072,94,47,2.822822823
MOVING_GEAR,CARS_MOTORCYCLES,348,56.8733908,36,18,5.172413793
MOVING_GEAR,OUTDOOR_VEHICLES,123,31.2601626,16,8,6.504065041
MOVING_GEAR,QUADRICYCLES,2068,26.19926015,138,69,3.33655706
MOVING_GEAR,ROLLER_SKATES,342,17.97921053,38,19,5.555555556
MOVING_GEAR,SCOOTERS,766,22.96466057,42,21,2.74151436
MOVING_GEAR,SLEDGES,193,21.48647668,18,9,4.663212435
MOVING_GEAR,TRICYCLES,1437,42.76907446,104,52,3.618649965
OUTDOOR_TOYS,SKIS_AND_SNOWBOARDS,221,22.24524887,32,16,7.239819005
PREGNANCY_CLOTHES,BLOUSES_AND_TUNICS,35696,8.242862786,1284,642,1.798520843
PREGNANCY_CLOTHES,COATS_RAINCOATS_AND_JACKETS,4839,35.89612937,706,353,7.29489564
PREGNANCY_CLOTHES,PRE_CARDIGANS,7551,12.49964376,498,249,3.29757648
PREGNANCY_CLOTHES,PRE_DRESSES,12425,23.40470584,1128,564,4.539235412
PREGNANCY_CLOTHES,PRE_SKIRTS,3629,10.90812345,180,90,2.480022045
PREGNANCY_CLOTHES,PRE_SPORTSWEAR,614,12.96724756,30,15,2.442996743
PREGNANCY_CLOTHES,PRE_SWIMWEAR,1480,14.46041892,94,47,3.175675676
PREGNANCY_CLOTHES,PRE_TROUSERS,30334,12.36219523,1792,896,2.953781236
PREGNANCY_CLOTHES,PRE_UNDERWEAR,9059,9.466855061,348,174,1.920741804
PREGNANCY_CLOTHES,SHORTS_AND_CAPRI_PANTS,3272,9.355299511,94,47,1.436430318
SHORTS_CAPRI_PANTS,LONG_SHORTS,1476,15.22542683,54,27,1.829268293
SHORTS_CAPRI_PANTS,MEN_SHO_SHORT_SHORTS,4415,16.97465685,130,65,1.472253681
STROLLERS,FOR_TWINS,1719,329.7337289,286,143,8.318789994
STROLLERS,SPORT_STROLLERS,2544,198.4902476,470,235,9.237421384
STROLLERS,STROLLER_ACCESSORIES,22118,22.63004928,2144,1072,4.846731169
STROLLERS,UMBRELLA_SHAPE_STROLLERS,19311,224.519087,3486,1743,9.025943763
STROLLERS,UNIVERSAL_STROLLERS,7204,91.47566491,834,417,5.788450861
TABLES_FOR_DIAPERS_CHANGING,NULL,465,70.63223656,38,19,4.086021505
TOYS_AND_GAMES,DECORATION_PARTIES,787,8.776810673,28,14,1.778907243
TOYS_AND_GAMES,FOR_BOYS,16432,16.84031159,742,371,2.257789679
TOYS_AND_GAMES,GAMES,38554,5.896165378,688,344,0.8922550189
TOYS_AND_GAMES,GAME_CONSOLES,7509,27.92656545,456,228,3.036356372
TOYS_AND_GAMES,HAND_CRAFTING,1806,15.17440753,110,55,3.045404208
TOYS_AND_GAMES,TOYS,177983,13.74058691,7580,3790,2.129416854
TOYS_AND_GAMES,TOY_PACKAGES,16301,21.66469419,1036,518,3.177719158
TRADITIONAL_NATIONAL_CLOTHING,NULL,838,52.40153938,120,60,7.159904535
WOMENS,BLAZERS,169287,22.45710474,17216,8608,5.084855896
WOMENS,COATS_JACKETS,241954,34.0367593,25214,12607,5.210494557
WOMENS,DRESSES,860056,39.78376873,79424,39712,4.617373752
WOMENS,JEANS,330765,19.26575061,25316,12658,3.826886158
WOMENS,JUMPSUITS_UK,12278,19.34379133,1262,631,5.139273497
WOMENS,LINGERIE,133086,11.67411831,7240,3620,2.720045685
WOMENS,OTHER_CLOTHES,27816,50.61510498,4108,2054,7.384239287
WOMENS,OUTERWEAR,377058,46.63813212,57032,28516,7.562762228
WOMENS,PULLOVERS_SWEATERS,713152,14.51278667,47128,23564,3.304204433
WOMENS,SHORTS_CAPRIS,153211,11.49014079,6570,3285,2.144101925
WOMENS,SKIRTS,214910,13.23925299,11830,5915,2.752314923
WOMENS,SPECIAL_OUTFITS_COSTUMES_W,11876,45.78736106,1792,896,7.544627821
WOMENS,SPORTSWEAR_WOMEN,124559,18.82035854,8318,4159,3.338979921
WOMENS,SWIMWEAR,91268,17.03220263,5374,2687,2.944076785
WOMENS,SKIRTS,214910,13.23925299,11830,5915,2.752314923
WOMENS,TOPS_T_SHIRTS,1844512,10.46995862,76166,38083,2.064665342
WOMENS,TROUSERS,317747,15.37898284,19136,9568,3.011200735
NULL,NULL,35999,34.06739465,2532,1266,3.516764355